model,image_id,eff_ensemble,eff_individual_mean,eff_individual_best
resnet18,ISIC_0012086,0.28089783988500183,0.12927679468136494,0.25194519724159614
resnet18,ISIC_0012092,-0.025469787427207086,-0.026805788850937446,0.3097244370473343
resnet18,ISIC_0012095,0.41684907197593024,0.07886706741031853,0.3780325408273181
resnet18,ISIC_0012134,0.6471315319202333,0.24985382839738848,0.45138232993922484
resnet18,ISIC_0012136,0.1548658481550637,0.0876090596537427,0.2711542482820185
resnet18,ISIC_0012147,0.02533024628181251,-0.023788634097328447,0.24390041611174618
resnet18,ISIC_0012149,-0.1939236656567092,-0.1033868604422536,0.02247785989855438
resnet18,ISIC_0012152,0.1048313187816625,0.09038138357429812,0.4595813114182373
resnet18,ISIC_0012178,-0.23032268471708714,-0.024182633975818994,0.14055055850746803
resnet18,ISIC_0012199,-0.19199277307526683,-0.009418504060254804,0.22470085141688947
resnet18,ISIC_0012207,-0.004386098866481193,-0.06339782025602828,0.070265012391879
resnet18,ISIC_0012215,0.2798174784874585,0.10452396174487744,0.2940620180458598
resnet18,ISIC_0012216,-0.1819098054012627,-0.018757148282712972,0.37182619856562893
resnet18,ISIC_0012223,0.3935152782600112,0.19497474849267032,0.399898905554135
resnet18,ISIC_0012240,0.0682439847911792,0.10035879768450495,0.394709793755109
resnet18,ISIC_0012248,0.027275594683922915,0.06427740182977645,0.2795632996926633
resnet18,ISIC_0012258,-0.1872171971909705,-0.09138641547617299,0.239809066607202
resnet18,ISIC_0012265,0.017152344114020113,-0.039552390774143666,0.06199619267961937
resnet18,ISIC_0012266,-0.12927050278202087,0.09110542317851615,0.2545881536625533
resnet18,ISIC_0012272,-0.10115457645160005,0.07145872058383913,0.3496671803867923
resnet18,ISIC_0012273,0.17625872157029793,0.09441784745207173,0.2299659376432663
resnet18,ISIC_0012314,-0.26377023188008103,-0.09974433468842284,0.16579688795500477
resnet18,ISIC_0012323,0.2757002134876724,0.09780406740356841,0.2499957738119742
resnet18,ISIC_0012330,-0.03940152040370996,0.05852561834252928,0.2997534287932756
resnet18,ISIC_0012356,0.15272253763589205,0.1290870031290223,0.3164438981731366
resnet18,ISIC_0012357,-0.22345908364367784,0.02122857530845249,0.24389869208295187
resnet18,ISIC_0012358,-0.013932886438057044,-0.022561387587659493,0.06103579299441556
resnet18,ISIC_0012364,-0.04641130540606875,0.04167151411972709,0.24695523041984807
resnet18,ISIC_0012369,0.166383636334277,0.13709706260055549,0.4595653478674236
resnet18,ISIC_0012372,0.14714963112313093,-0.001795500911233126,0.40600927504899775
resnet18,ISIC_0012375,0.22786716636511156,0.19616605878267615,0.3420181883230171
resnet18,ISIC_0012387,-0.004319697225757186,-0.021007550491663387,0.15451433716397883
resnet18,ISIC_0012388,0.42188370843618406,0.15390147053296052,0.3834177749924121
resnet18,ISIC_0012395,0.08752614345217223,0.21775015280757878,0.3216137984996616
resnet18,ISIC_0012414,0.22168708911176044,0.05228311809020373,0.42286912787392755
resnet18,ISIC_0012425,0.0738425323644764,-0.019483895163164584,0.2973515760868575
resnet18,ISIC_0012428,0.3530633282485138,0.25400179187335115,0.5144711115064368
resnet18,ISIC_0012432,-0.25834955766259154,-0.01463189637854043,0.26015695231760055
resnet18,ISIC_0012447,-0.18024081752705987,0.06515786434414085,0.1758013010282237
resnet18,ISIC_0012448,0.0315190333525026,0.08086906539045861,0.22509136998833487
resnet18,ISIC_0012484,0.1184499375951439,0.1434256392708373,0.37489379128127076
resnet18,ISIC_0012493,0.04692900462369739,-0.0412215661865871,0.22464447760847556
resnet18,ISIC_0012510,0.33032503817143793,0.1457784270777098,0.2931342131417064
resnet18,ISIC_0012522,-0.013166033911891068,0.010375581001733008,0.30386589466420455
resnet18,ISIC_0012537,-0.058099498327701414,0.025563979106092986,0.4512157852536877
resnet18,ISIC_0012548,0.07983646442284338,0.03868674541886202,0.3588053010982152
resnet18,ISIC_0012551,0.09813168348797406,-0.0558163406005961,0.16291767367358562
resnet18,ISIC_0012654,0.10365936405526369,0.06382594594647203,0.1605285823050077
resnet18,ISIC_0012656,0.2612390161199821,0.057121168384047495,0.2858057720966685
resnet18,ISIC_0012705,0.12373085795142676,0.03028127694889064,0.30879192497797747
resnet18,ISIC_0012708,-0.40105961878962076,-0.03017413425463402,0.3551164964002093
resnet18,ISIC_0012722,0.20367257416004994,0.006592784927787643,0.3380737715849894
resnet18,ISIC_0012757,-0.3340169838070202,-0.02431348710566413,0.2479272451218766
resnet18,ISIC_0012758,-0.10520086456122497,-0.025654744637513657,0.3023180632390939
resnet18,ISIC_0012786,0.178650343330112,0.05838224047392128,0.2194344595201878
resnet18,ISIC_0012803,0.041323279841330204,-0.07869385530097485,0.09198000278259975
resnet18,ISIC_0012836,-0.3436893190006326,-0.02062320825315874,0.2909052853436071
resnet18,ISIC_0012837,0.3429472210945669,0.1100326558634046,0.4185280696129942
resnet18,ISIC_0012848,0.01895215702574812,0.14953737727848138,0.42986111355790485
resnet18,ISIC_0012852,0.2082905620805069,0.07039523929699014,0.26525788234802333
resnet18,ISIC_0012903,-0.3708333013629702,-0.08150252528388731,0.08579497062544893
resnet18,ISIC_0012904,-0.4981837160354485,-0.2167814334432756,0.17841763334639552
resnet18,ISIC_0012928,-0.2363302590488918,-0.04529835221856742,0.263625514599437
resnet18,ISIC_0012941,-0.26588228092070504,-0.16311349673516834,0.06558883379052861
resnet18,ISIC_0012955,0.01566727662850507,0.10261789185270229,0.33503967631476606
resnet18,ISIC_0012967,0.22336657905299973,0.11192827948491364,0.4221365862957879
resnet18,ISIC_0012974,0.3745947099602723,0.15870281494078137,0.28741961801880794
resnet18,ISIC_0012989,0.013285299993927373,0.1696375299478572,0.5103847314331029
resnet18,ISIC_0013030,0.027825822689593455,0.07626628928754117,0.3710117552403129
resnet18,ISIC_0013035,0.11703056027785429,0.09573900062096152,0.33147607045424055
resnet18,ISIC_0013045,0.20995554570629427,0.03332086275749956,0.5362359614001138
resnet18,ISIC_0013070,0.13939825831844663,0.10765664248587521,0.5826070969569486
resnet18,ISIC_0013072,-0.2317869549483638,0.0401843911683338,0.20290626890260707
resnet18,ISIC_0013073,-0.09449818418295516,0.004605655102514923,0.16093975695035767
resnet18,ISIC_0013085,0.029887940145068286,0.1219893618639174,0.3889078742572355
resnet18,ISIC_0013109,-0.5181799718510532,-0.16561727383252087,0.051416431912484496
resnet18,ISIC_0013159,-0.24583393852905427,-0.13195761889024532,0.06811567291576459
resnet18,ISIC_0013164,-0.3847545751628165,-0.04013027199719659,0.16585774088388858
resnet18,ISIC_0013169,0.3502148467912141,0.16692621269524552,0.29050032721048097
resnet18,ISIC_0013170,0.31530263345127885,0.08762675422192771,0.45362910182781385
resnet18,ISIC_0013176,0.09438969538079253,0.09023323832512106,0.2908858873079404
resnet18,ISIC_0013191,-0.2328165069141171,-0.11909673020762354,0.002932028659619041
resnet18,ISIC_0013203,0.04099200338882458,0.1148892334049836,0.4600742141935487
resnet18,ISIC_0013216,0.007172263998967913,0.0905542428153178,0.6295832605265089
resnet18,ISIC_0013226,0.0359182702624827,-0.0651347571848568,0.42241021160092174
resnet18,ISIC_0013230,0.02099335871241746,0.05164911433909397,0.48927229971093844
resnet18,ISIC_0013242,-0.31935795718594545,-0.11882534445852107,0.07711099296975463
resnet18,ISIC_0013269,0.016402917450083012,0.011190903738230664,0.1444888866681179
resnet18,ISIC_0013270,-0.2259983127814598,0.04672116546062377,0.2686536951967108
resnet18,ISIC_0013271,0.02479033157446975,0.024205504244944196,0.28949055099291604
resnet18,ISIC_0013277,-0.19537633769951107,-0.008967059611982488,0.25172133694970694
resnet18,ISIC_0013281,0.23198152231788852,0.06387581892951458,0.4144072058029809
resnet18,ISIC_0013291,0.16003384697812945,0.061183588475243536,0.24328182034084084
resnet18,ISIC_0013319,0.2194586165440963,0.1711858101794567,0.5751018233828203
resnet18,ISIC_0013321,0.4315672737163246,0.2045477273014222,0.36225234064755757
resnet18,ISIC_0013325,-0.14925190396497476,0.012404082255913282,0.3150342755077424
resnet18,ISIC_0013374,0.42817781280704575,0.14512076227178147,0.2593360894016094
resnet18,ISIC_0013393,-0.03211399148982598,-0.06722440570834003,0.3054405781886217
resnet18,ISIC_0013399,0.1792745970914884,0.04178787242743516,0.2948734750659833
resnet18,ISIC_0013411,0.05080390770876305,0.11249652602951198,0.46960081779110835
resnet18,ISIC_0013414,0.03758786897222954,-0.009018844902974174,0.261192372320797
resnet18,ISIC_0013416,-0.07312470943697666,0.002792258254652918,0.13164517746622298
resnet18,ISIC_0013455,-0.06443282610624668,-0.07625721255205484,0.17731055341382024
resnet18,ISIC_0013457,-0.11608425174984398,-0.010614642354087036,0.22743909766170686
resnet18,ISIC_0013459,-0.0950544198595796,-0.14209326159282273,0.05287749838343969
resnet18,ISIC_0013465,-0.24869695221506377,0.05331793415377472,0.3748522225191389
resnet18,ISIC_0013472,-0.14729879879874774,-0.06096713661258852,0.25792840155308944
